IBOV,,,PETR4,,,VALE3,,,DOLAR,
Date,Close,,Date,Close,,Date,Close,,Date,Close
40084.70556,61316,,40053.70556,32.55,,37579.70556,1.99,,39773.99861,2.405
40085.70556,61235,,40056.70556,31.38,,37580.70556,1.92,,39776.99861,2.2746
40086.70556,61517,,40057.70556,31.6,,37581.70556,2.02,,39777.99861,2.2535
40087.70556,60459,,40058.70556,32.15,,37582.70556,2,,39778.99861,2.258
40088.70556,61171,,40059.70556,32.19,,37585.70556,1.98,,39779.99861,2.1985
40091.70556,62369,,40060.70556,32.51,,37586.70556,1.99,,39780.99861,2.2567
40092.70556,62670,,40064.70556,32.88,,37587.70556,2.01,,39783.99861,2.345
40093.70556,62638,,40065.70556,33,,37588.70556,2.01,,39784.99861,2.328
40094.70556,63759,,40066.70556,33.34,,37589.70556,2.08,,39785.99861,2.3455
40095.70556,64071,,40067.70556,33.14,,37592.70556,2.11,,39786.99861,2.4308
40099.70556,64645,,40070.70556,33.24,,37593.70556,2.14,,39787.99861,2.566
40100.70556,66201,,40071.70556,33.4,,37594.70556,2.11,,39790.99861,2.511
40101.70556,66703,,40072.70556,34.35,,37595.70556,2.15,,39791.99861,2.4345
40102.70556,66200,,40073.70556,34.3,,37596.70556,2.17,,39792.99861,2.382
40105.70556,67239,,40074.70556,34.65,,37599.70556,2.17,,39793.99861,2.2395
40107.70556,65485,,40077.70556,34.6,,37600.70556,2.24,,39794.99861,2.3495
40109.70556,65058,,40078.70556,34.83,,37601.70556,2.27,,39797.99861,2.3115
40112.70556,65085,,40079.70556,34.26,,37602.70556,2.27,,39798.99861,2.317
40114.70556,60162,,40080.70556,33.8,,37603.70556,2.22,,39799.99861,2.32
40115.70556,63720,,40081.70556,34.11,,37606.70556,2.15,,39800.99861,2.346
40116.70556,61545,,40084.70556,34.89,,37607.70556,2.15,,39801.99861,2.3705
40120.70556,62643,,40085.70556,34.77,,37608.70556,2.1,,39804.99861,2.3583
40121.70556,63912,,40086.70556,35,,37609.70556,2.09,,39805.99861,2.3261
40122.70556,64815,,40087.70556,34.05,,37610.70556,2.07,,39806.99861,2.3261
40123.70556,64466,,40088.70556,34.16,,37613.70556,2.09,,39807.99861,2.3261
40126.70556,66214,,40091.70556,34.45,,37616.70556,2.13,,39808.99861,2.3261
40127.70556,66303,,40092.70556,34.49,,37617.70556,2.13,,39811.99861,2.3493
40129.70556,64447,,40093.70556,34.66,,37620.70556,2.14,,39812.99861,2.324
40130.70556,65325,,40094.70556,35.45,,37623.70556,2.13,,39813.99861,2.324
40134.70556,67405,,40095.70556,35.64,,37624.70556,2.06,,39814.99861,2.324
40135.70556,66515,,40099.70556,35.82,,37627.70556,2.04,,39815.99861,2.313
40136.70556,66327,,40100.70556,36.15,,37628.70556,1.99,,39818.99861,2.2165
40140.70556,66809,,40101.70556,36.6,,37629.70556,1.98,,39819.99861,2.139
40141.70556,67317,,40102.70556,36.4,,37630.70556,1.99,,39820.99861,2.1725
40142.70556,67917,,40105.70556,37.36,,37631.70556,1.94,,39821.99861,2.2146
40143.70556,66391,,40107.70556,36.7,,37634.70556,1.92,,39822.99861,2.2431
40144.70556,67082,,40109.70556,36.5,,37635.70556,1.93,,39825.99861,2.272
40147.70556,67044,,40112.70556,36.7,,37636.70556,1.94,,39826.99861,2.2483
40148.70556,68408,,40114.70556,34.24,,37637.70556,1.92,,39827.99861,2.3051
40149.70556,68614,,40115.70556,36.06,,37638.70556,1.93,,39828.99861,2.3226
40150.70556,68314,,40116.70556,35.04,,37641.70556,1.92,,39829.99861,2.29
40151.70556,67603,,40120.70556,35.55,,37642.70556,1.96,,39832.99861,2.2825
40154.70556,68512,,40121.70556,35.7,,37643.70556,1.98,,39833.99861,2.3125
40155.70556,67728,,40122.70556,36.4,,37644.70556,1.92,,39834.99861,2.3038
40156.70556,68011,,40123.70556,36.05,,37645.70556,1.96,,39835.99861,2.3003
40157.70556,68728,,40126.70556,37.08,,37648.70556,1.95,,39836.99861,2.3002
40158.70556,69267,,40127.70556,37.41,,37649.70556,1.95,,39839.99861,2.2638
40161.70556,69349,,40129.70556,36.85,,37650.70556,1.95,,39840.99861,2.267
40162.70556,69310,,40130.70556,37.13,,37651.70556,1.97,,39841.99861,2.237
40163.70556,68622,,40134.70556,38.4,,37652.70556,2.02,,39842.99861,2.24
40164.70556,67067,,40135.70556,38.2,,37655.70556,2.03,,39843.99861,2.263
40165.70556,66794,,40136.70556,38.5,,37656.70556,2.07,,39846.99861,2.34
40168.70556,65925,,40140.70556,38.85,,37657.70556,2.12,,39847.99861,2.307
40169.70556,67417,,40141.70556,39.15,,37658.70556,2.15,,39848.99861,2.2869
40170.70556,67588,,40142.70556,39.45,,37659.70556,2.13,,39849.99861,2.29
40175.70556,67901,,40143.70556,38.45,,37662.70556,2.13,,39850.99861,2.2593
40176.70556,68296,,40144.70556,38.9,,37663.70556,2.19,,39853.99861,2.2385
40177.70556,68588,,40147.70556,38.8,,37664.70556,2.15,,39854.99861,2.2635
40182.70556,70045,,40148.70556,39.79,,37665.70556,2.1,,39855.99861,2.2598
40183.70556,70239,,40149.70556,39.41,,37666.70556,2.06,,39856.99861,2.286
40184.70556,70729,,40150.70556,39.3,,37669.70556,2.1,,39857.99861,2.256
40189.70556,70433,,40151.70556,38.4,,37670.70556,2.1,,39860.99861,2.266
40190.70556,70075,,40154.70556,38.4,,37671.70556,2.06,,39861.99861,2.315
40191.70556,70385,,40155.70556,37.59,,37672.70556,2.06,,39862.99861,2.349
40192.70556,69801,,40156.70556,37.59,,37673.70556,2.13,,39863.99861,2.3533
40193.70556,68978,,40157.70556,37.76,,37676.70556,2.13,,39864.99861,2.3905
40196.70556,69400,,40158.70556,37.8,,37677.70556,2.15,,39867.99861,2.379
40197.70556,69908,,40161.70556,37.9,,37678.70556,2.17,,39868.99861,2.383
40198.70556,68200,,40162.70556,38,,37679.70556,2.1,,39869.99861,2.394
40199.70556,66270,,40163.70556,37.86,,37680.70556,2.17,,39870.99861,2.344
40200.70556,66220,,40164.70556,36.87,,37685.70556,2.17,,39871.99861,2.369
40204.70556,65523,,40165.70556,36.58,,37686.70556,2.12,,39874.99861,2.437
40205.70556,65069,,40168.70556,35.2,,37687.70556,2.07,,39875.99861,2.439
40206.70556,65587,,40169.70556,36.34,,37690.70556,2.07,,39876.99861,2.371
40207.70556,65401,,40170.70556,36.7,,37691.70556,2.06,,39877.99861,2.378
40210.70556,66571,,40175.70556,36.75,,37692.70556,2.05,,39878.99861,2.3724
40211.70556,67163,,40176.70556,36.8,,37693.70556,2.02,,39881.99861,2.3652
40212.70556,67108,,40177.70556,36.69,,37694.70556,2,,39882.99861,2.3434
40213.70556,63934,,40182.70556,37.32,,37697.70556,2,,39883.99861,2.3368
40214.70556,62762,,40183.70556,37,,37698.70556,1.99,,39884.99861,2.3182
40217.70556,63153,,40184.70556,37.5,,37699.70556,1.96,,39885.99861,2.3065
40218.70556,64718,,40185.70556,37.15,,37700.70556,2,,39888.99861,2.2095
40219.70556,65051,,40186.70556,36.95,,37701.70556,1.95,,39889.99861,2.2759
40220.70556,66128,,40189.70556,36.83,,37704.70556,1.93,,39890.99861,2.2997
40221.70556,65854,,40190.70556,36.36,,37705.70556,1.94,,39891.99861,2.251
40226.70556,67284,,40191.70556,36.3,,37706.70556,1.92,,39892.99861,2.264
40227.70556,67836,,40192.70556,35.67,,37707.70556,1.95,,39895.99861,2.27
40228.70556,67597,,40193.70556,35.75,,37708.70556,1.93,,39896.99861,2.2439
40231.70556,67184,,40196.70556,36.55,,37711.70556,1.9,,39897.99861,2.2387
40232.70556,66108,,40197.70556,36.38,,37712.70556,1.91,,39898.99861,2.2354
40233.70556,65794,,40198.70556,35.45,,37713.70556,1.89,,39899.99861,2.2754
40234.70556,66121,,40199.70556,34.33,,37714.70556,1.84,,39902.99861,2.323
40235.70556,66503,,40200.70556,34.75,,37715.70556,1.82,,39903.99861,2.307
40238.70556,67227,,40204.70556,33.9,,37718.70556,1.82,,39904.99861,2.2785
40239.70556,67779,,40205.70556,34.11,,37719.70556,1.84,,39905.99861,2.227
40240.70556,67641,,40206.70556,34.61,,37720.70556,1.88,,39906.99861,2.1993
40241.70556,67814,,40207.70556,34.17,,37721.70556,1.92,,39909.99861,2.2215
40242.70556,68846,,40210.70556,34.3,,37722.70556,1.85,,39910.99861,2.2259
40245.70556,68575,,40211.70556,34.1,,37725.70556,1.85,,39911.99861,2.1973
40246.70556,69576,,40212.70556,34.04,,37726.70556,1.83,,39912.99861,2.175
40247.70556,69979,,40213.70556,32.3,,37727.70556,1.81,,39913.99861,2.1811
40248.70556,69884,,40214.70556,31.52,,37728.70556,1.78,,39917.99861,2.1771
40249.70556,69341,,40217.70556,31.74,,37733.70556,1.76,,39918.99861,2.194
40252.70556,69023,,40218.70556,32.24,,37734.70556,1.74,,39919.99861,2.177
40254.70556,69723,,40219.70556,32.64,,37735.70556,1.69,,39920.99861,2.1826
40255.70556,69697,,40220.70556,33.36,,37736.70556,1.7,,39923.99861,2.2303
40256.70556,68828,,40221.70556,33.8,,37739.70556,1.71,,39924.99861,2.239
40259.70556,69041,,40226.70556,34.25,,37740.70556,1.69,,39925.99861,2.201
40260.70556,69386,,40227.70556,34.69,,37741.70556,1.71,,39926.99861,2.2075
40261.70556,68913,,40228.70556,34.35,,37743.70556,1.7,,39927.99861,2.1935
40262.70556,68441,,40231.70556,34.65,,37746.70556,1.78,,39930.99861,2.1962
40263.70556,68682,,40232.70556,34.19,,37747.70556,1.8,,39931.99861,2.1543
40266.70556,69939,,40233.70556,33.94,,37748.70556,1.76,,39932.99861,2.1591
40267.70556,69959,,40234.70556,34.38,,37749.70556,1.72,,39933.99861,2.1689
40268.70556,70371,,40235.70556,34.61,,37750.70556,1.72,,39934.99861,2.18
40269.70556,71136,,40238.70556,34.93,,37753.70556,1.77,,39937.99861,2.1326
40273.70556,71289,,40239.70556,35.12,,37754.70556,1.76,,39938.99861,2.1469
40274.70556,71095,,40240.70556,35.15,,37755.70556,1.73,,39939.99861,2.1115
40275.70556,70792,,40241.70556,35.2,,37756.70556,1.76,,39940.99861,2.1033
40277.70556,71417,,40242.70556,35.81,,37757.70556,1.76,,39941.99861,2.073
40280.70556,70614,,40245.70556,35.7,,37760.70556,1.79,,39944.99861,2.0498
40281.70556,70792,,40246.70556,36.5,,37761.70556,1.84,,39945.99861,2.0595
40282.70556,71034,,40247.70556,37,,37762.70556,1.83,,39946.99861,2.1009
40283.70556,70524,,40248.70556,37.05,,37763.70556,1.8,,39947.99861,2.0985
40284.70556,69421,,40249.70556,37.06,,37764.70556,1.81,,39948.99861,2.0784
40287.70556,69097,,40252.70556,36.77,,37767.70556,1.83,,39951.99861,2.0772
40288.70556,69318,,40254.70556,37.15,,37768.70556,1.85,,39952.99861,2.0448
40290.70556,69386,,40255.70556,37.02,,37769.70556,1.86,,39953.99861,2.0174
40291.70556,69509,,40256.70556,36.23,,37770.70556,1.83,,39954.99861,2.0375
40294.70556,68871,,40259.70556,36.24,,37771.70556,1.83,,39955.99861,2.0238
40295.70556,66511,,40260.70556,35.82,,37774.70556,1.82,,39958.99861,2.0201
40296.70556,66655,,40261.70556,36.09,,37775.70556,1.82,,39959.99861,2.0337
40297.70556,67978,,40262.70556,35.2,,37776.70556,1.82,,39960.99861,2.012
40298.70556,67529,,40263.70556,34.5,,37777.70556,1.8,,39961.99861,2.0042
40302.70556,64869,,40266.70556,34.9,,37778.70556,1.85,,39962.99861,1.9653
40303.70556,64914,,40267.70556,34.8,,37781.70556,1.83,,39966.99861,1.941
40304.70556,63414,,40268.70556,35.39,,37782.70556,1.8,,39967.99861,1.9452
40305.70556,62870,,40269.70556,35.75,,37783.70556,1.79,,39968.99861,1.9421
40308.70556,65452,,40273.70556,36.01,,37784.70556,1.77,,39969.99861,1.956
40309.70556,64424,,40274.70556,36.08,,37785.70556,1.74,,39972.99861,1.9751
40310.70556,65223,,40275.70556,35.8,,37788.70556,1.78,,39973.99861,1.9426
40311.70556,64788,,40277.70556,35.23,,37789.70556,1.82,,39974.99861,1.9477
40312.70556,63412,,40280.70556,34.39,,37790.70556,1.83,,39975.99861,1.947
40315.70556,62866,,40281.70556,34.19,,37792.70556,1.8,,39976.99861,1.9205
40316.70556,60841,,40282.70556,34.25,,37795.70556,1.79,,39979.99861,1.9575
40317.70556,59689,,40283.70556,33.6,,37796.70556,1.79,,39980.99861,1.9675
40318.70556,58192,,40284.70556,32.95,,37797.70556,1.77,,39981.99861,1.979
40319.70556,60259,,40287.70556,33.55,,37798.70556,1.77,,39982.99861,1.911
40322.70556,59915,,40288.70556,34.3,,37799.70556,1.77,,39983.99861,1.9511
40323.70556,59184,,40290.70556,33.86,,37802.70556,1.75,,39986.99861,2.012
40324.70556,60190,,40291.70556,34,,37803.70556,1.77,,39987.99861,2
40325.70556,62091,,40294.70556,33.31,,37804.70556,1.77,,39988.99861,1.962
40326.70556,61946,,40295.70556,32.1,,37805.70556,1.81,,39989.99861,1.9606
40329.70556,63046,,40296.70556,32.39,,37806.70556,1.83,,39990.99861,1.93
40330.70556,61840,,40297.70556,33.02,,37809.70556,1.86,,39993.99861,1.9542
40331.70556,62942,,40298.70556,32.8,,37810.70556,1.89,,39994.99861,1.9628
40333.70556,61675,,40302.70556,30.44,,37812.70556,1.93,,39995.99861,1.9268
40336.70556,61182,,40303.70556,30.21,,37813.70556,1.9,,39996.99861,1.9533
40337.70556,61793,,40304.70556,29.81,,37816.70556,1.88,,39997.99861,1.9508
40338.70556,61478,,40305.70556,29.75,,37817.70556,1.89,,39998.99861,1.9509
40339.70556,63048,,40308.70556,30.15,,37818.70556,1.88,,39999.99861,1.9033
40340.70556,63605,,40309.70556,29.62,,37819.70556,1.9,,40000.99861,1.9708
40343.70556,63532,,40310.70556,29.9,,37820.70556,1.91,,40001.99861,1.965
40344.70556,64442,,40311.70556,30,,37823.70556,1.9,,40002.99861,2.0012
40345.70556,64750,,40312.70556,30.09,,37824.70556,1.89,,40003.99861,1.9425
40346.70556,64540,,40315.70556,29.85,,37825.70556,1.9,,40004.99861,2.0127
40347.70556,64437,,40316.70556,29.22,,37826.70556,1.95,,40005.99861,1.9644
40350.70556,64441,,40317.70556,28.55,,37827.70556,2.03,,40007.99861,1.9874
40351.70556,64810,,40318.70556,27.43,,37830.70556,2.05,,40008.99861,1.9664
40352.70556,65160,,40319.70556,27.58,,37831.70556,2.06,,40009.99861,1.9331
40353.70556,63936,,40322.70556,27.15,,37832.70556,2.1,,40010.99861,1.9291
40357.70556,64225,,40323.70556,26.55,,37833.70556,2.14,,40011.99861,1.9257
40358.70556,61977,,40324.70556,27.05,,37834.70556,2.16,,40012.99861,1.9256
40359.70556,60935,,40325.70556,27.81,,37837.70556,2.17,,40014.99861,1.904
40360.70556,61236,,40326.70556,28.2,,37838.70556,2.1,,40015.99861,1.906
40361.70556,61429,,40329.70556,29.6,,37839.70556,2.07,,40016.99861,1.9022
40364.70556,60865,,40330.70556,28.65,,37840.70556,2.05,,40017.99861,1.8848
40365.70556,62064,,40331.70556,29.1,,37841.70556,2.09,,40018.99861,1.8937
40367.70556,63476,,40333.70556,29.25,,37844.70556,2.14,,40019.99861,1.8937
40372.70556,63685,,40336.70556,29.52,,37845.70556,2.2,,40021.99861,1.8805
40373.70556,63479,,40337.70556,29.66,,37846.70556,2.2,,40022.99861,1.881
40374.70556,63489,,40338.70556,29.55,,37847.70556,2.29,,40023.99861,1.899
40375.70556,62339,,40339.70556,29.9,,37848.70556,2.31,,40024.99861,1.8765
40378.70556,63297,,40340.70556,29.62,,37851.70556,2.33,,40025.99861,1.8635
40379.70556,64462,,40343.70556,29.05,,37852.70556,2.36,,40028.99861,1.8331
40380.70556,64476,,40344.70556,29,,37853.70556,2.42,,40029.99861,1.8306
40381.70556,65748,,40345.70556,29.65,,37854.70556,2.38,,40030.99861,1.832
40382.70556,66322,,40350.70556,29.4,,37855.70556,2.31,,40031.99861,1.8278
40385.70556,66443,,40351.70556,29.11,,37858.70556,2.28,,40032.99861,1.8232
40386.70556,66674,,40352.70556,28.5,,37859.70556,2.27,,40033.99861,1.7708
40387.70556,66808,,40353.70556,27.49,,37860.70556,2.27,,40035.99861,1.845
40388.70556,66953,,40357.70556,27.42,,37861.70556,2.3,,40036.99861,1.8508
40389.70556,67515,,40358.70556,26.83,,37862.70556,2.31,,40037.99861,1.833
40392.70556,68517,,40359.70556,26.86,,37865.70556,2.35,,40038.99861,1.8303
40393.70556,67997,,40360.70556,26.45,,37866.70556,2.33,,40039.99861,1.8415
40394.70556,68272,,40361.70556,26.77,,37867.70556,2.34,,40040.99861,1.8413
40395.70556,68411,,40364.70556,26.54,,37868.70556,2.35,,40041.99861,1.8
40396.70556,68094,,40365.70556,27.05,,37869.70556,2.38,,40042.99861,1.8
40399.70556,67862,,40367.70556,27.58,,37872.70556,2.42,,40043.99861,1.8
40400.70556,67223,,40371.70556,27.23,,37873.70556,2.39,,40044.99861,1.8604
40401.70556,65790,,40372.70556,27.3,,37874.70556,2.36,,40045.99861,1.84
40402.70556,65966,,40373.70556,27.3,,37875.70556,2.38,,40046.99861,1.829
40403.70556,66264,,40374.70556,27.11,,37876.70556,2.4,,40047.99861,1.8092
40406.70556,66701,,40375.70556,26.84,,37879.70556,2.33,,40048.99861,1.8092
40407.70556,67583,,40378.70556,26.95,,37880.70556,2.4,,40049.99861,1.7833
40408.70556,67638,,40379.70556,27.65,,37881.70556,2.41,,40050.99861,1.8373
40409.70556,66887,,40380.70556,27.5,,37882.70556,2.47,,40051.99861,1.872
40410.70556,66677,,40381.70556,27.98,,37883.70556,2.48,,40052.99861,1.8794
40413.70556,65981,,40382.70556,27.79,,37886.70556,2.49,,40053.99861,1.8233
40414.70556,65156,,40385.70556,27.9,,37887.70556,2.45,,40054.99861,1.8233
40415.70556,64803,,40386.70556,27.98,,37888.70556,2.45,,40055.99861,1.8314
40416.70556,63867,,40387.70556,27.8,,37889.70556,2.4,,40056.99861,1.874
40417.70556,65585,,40388.70556,27.74,,37890.70556,2.38,,40057.99861,1.913
40420.70556,64260,,40389.70556,27.85,,37893.70556,2.46,,40058.99861,1.888
40421.70556,65145,,40392.70556,28.44,,37894.70556,2.44,,40059.99861,1.8665
40423.70556,66808,,40393.70556,29.08,,37895.70556,2.54,,40060.99861,1.8432
40424.70556,66678,,40394.70556,29.34,,37896.70556,2.64,,40061.99861,1.8434
40427.70556,66747,,40395.70556,29.43,,37897.70556,2.7,,40063.99861,1.8398
40429.70556,66407,,40396.70556,29.09,,37900.70556,2.74,,40064.99861,1.8233
40431.70556,66806,,40399.70556,28.83,,37901.70556,2.74,,40065.99861,1.836
40434.70556,68030,,40400.70556,28.41,,37902.70556,2.67,,40066.99861,1.816
40435.70556,67691,,40401.70556,27.5,,37903.70556,2.67,,40067.99861,1.8085
40436.70556,68106,,40402.70556,27.53,,37904.70556,2.63,,40070.99861,1.814
40437.70556,67662,,40403.70556,27.66,,37907.70556,2.79,,40071.99861,1.8036
40438.70556,67089,,40406.70556,27.61,,37908.70556,2.78,,40072.99861,1.7964
40442.70556,67719,,40407.70556,28.3,,37909.70556,2.78,,40073.99861,1.8074
40444.70556,68794,,40408.70556,27.68,,37910.70556,2.75,,40074.99861,1.8062
40445.70556,68196,,40409.70556,26.78,,37911.70556,2.75,,40075.99861,1.806
40448.70556,68815,,40410.70556,26.78,,37914.70556,2.73,,40076.99861,1.7593
40449.70556,69227,,40413.70556,26.66,,37915.70556,2.71,,40077.99861,1.7643
40450.70556,69228,,40414.70556,26.14,,37916.70556,2.65,,40078.99861,1.803
40451.70556,69429,,40415.70556,26.08,,37917.70556,2.61,,40079.99861,1.7878
40452.70556,70229,,40416.70556,25.7,,37918.70556,2.58,,40080.99861,1.7535
40455.70556,70384,,40417.70556,26.56,,37921.70556,2.59,,40081.99861,1.799
40456.70556,71283,,40421.70556,26.06,,37922.70556,2.62,,40082.99861,1.7503
40457.70556,70541,,40423.70556,27.6,,37923.70556,2.66,,40083.99861,1.7503
40458.70556,69918,,40424.70556,28.8,,37924.70556,2.74,,40084.99861,1.7413
40459.70556,70808,,40427.70556,29.09,,37925.70556,2.71,,40085.99861,1.7846
40462.70556,70946,,40429.70556,27.83,,37928.70556,2.73,,40086.99861,1.7721
40464.70556,71674,,40431.70556,27.52,,37929.70556,2.75,,40087.99861,1.7796
40465.70556,71692,,40434.70556,28.3,,37930.70556,2.7,,40088.99861,1.7789
40466.70556,71830,,40435.70556,26.85,,37931.70556,2.63,,40089.99861,1.7789
40469.70556,71735,,40436.70556,26.45,,37932.70556,2.6,,40090.99861,1.7333
40470.70556,69863,,40437.70556,26.36,,37935.70556,2.53,,40091.99861,1.7683
40471.70556,70404,,40438.70556,26.44,,37936.70556,2.55,,40092.99861,1.747
40472.70556,69652,,40442.70556,26.35,,37937.70556,2.6,,40093.99861,1.7584
40473.70556,69529,,40444.70556,26.8,,37938.70556,2.66,,40094.99861,1.738
40476.70556,69580,,40445.70556,26.3,,37939.70556,2.67,,40095.99861,1.7377
40477.70556,70740,,40448.70556,26.5,,37942.70556,2.6,,40096.99861,1.6875
40478.70556,70568,,40449.70556,26.7,,37943.70556,2.6,,40097.99861,1.6875
40479.70556,70320,,40450.70556,27.5,,37944.70556,2.57,,40098.99861,1.7397
40480.70556,70673,,40451.70556,27.29,,37945.70556,2.58,,40099.99861,1.7293
40483.70556,71560,,40452.70556,27.5,,37946.70556,2.57,,40100.99861,1.7034
40486.70556,72995,,40455.70556,27.38,,37949.70556,2.57,,40101.99861,1.7015
40487.70556,72606,,40456.70556,26.98,,37950.70556,2.66,,40102.99861,1.7049
40491.70556,71679,,40457.70556,25.86,,37951.70556,2.66,,40103.99861,1.6701
40492.70556,71638,,40458.70556,25.3,,37952.70556,2.61,,40104.99861,1.6595
40493.70556,71195,,40459.70556,26,,37953.70556,2.69,,40105.99861,1.7067
40494.70556,70367,,40462.70556,25.85,,37956.70556,2.79,,40106.99861,1.7525
40498.70556,69192,,40464.70556,25.71,,37957.70556,2.79,,40107.99861,1.7307
40499.70556,69708,,40465.70556,26.44,,37958.70556,2.8,,40108.99861,1.7244
40500.70556,70781,,40466.70556,26.29,,37959.70556,2.89,,40109.99861,1.7144
40501.70556,70897,,40469.70556,26.4,,37960.70556,2.96,,40112.99861,1.7158
40504.70556,69632,,40470.70556,25.28,,37963.70556,3.06,,40113.99861,1.732
40505.70556,67952,,40471.70556,24.99,,37964.70556,3.27,,40114.99861,1.7542
40506.70556,69629,,40472.70556,24.16,,37965.70556,3.17,,40115.99861,1.733
40507.70556,69361,,40473.70556,24.21,,37966.70556,3.13,,40116.99861,1.7518
40508.70556,68226,,40476.70556,24.57,,37967.70556,3.29,,40117.99861,1.7046
40511.70556,67908,,40477.70556,25.85,,37970.70556,3.32,,40119.99861,1.7608
40512.70556,67705,,40478.70556,26.19,,37971.70556,3.33,,40120.99861,1.7405
40513.70556,69345,,40479.70556,26.26,,37972.70556,3.34,,40121.99861,1.717
40514.70556,69527,,40480.70556,25.85,,37973.70556,3.33,,40122.99861,1.7205
40515.70556,69766,,40483.70556,26.49,,37974.70556,3.38,,40123.99861,1.7151
40518.70556,69551,,40486.70556,27.5,,37977.70556,3.56,,40126.99861,1.6979
40519.70556,69337,,40487.70556,27.25,,37978.70556,3.48,,40127.99861,1.7083
40520.70556,68174,,40491.70556,27.12,,37981.70556,3.54,,40128.99861,1.7172
40521.70556,67879,,40492.70556,27.13,,37984.70556,3.55,,40129.99861,1.7337
40522.70556,68341,,40493.70556,26.72,,37985.70556,3.53,,40130.99861,1.7234
40525.70556,69126,,40494.70556,25.85,,37988.70556,3.64,,40133.99861,1.708
40526.70556,68742,,40498.70556,25.4,,37991.70556,3.75,,40134.99861,1.71
40527.70556,67870,,40499.70556,25.45,,37992.70556,3.75,,40135.99861,1.716
40528.70556,67306,,40500.70556,25.9,,37993.70556,3.56,,40136.99861,1.73
40529.70556,67981,,40501.70556,25.7,,37994.70556,3.63,,40137.99861,1.7327
40532.70556,67263,,40504.70556,25.06,,37995.70556,3.62,,40140.99861,1.7265
40533.70556,68214,,40505.70556,24.65,,37998.70556,3.54,,40141.99861,1.7284
40534.70556,68470,,40506.70556,25.24,,37999.70556,3.58,,40142.99861,1.731
40535.70556,68485,,40507.70556,24.85,,38000.70556,3.54,,40143.99861,1.7513
40539.70556,67803,,40508.70556,24.6,,38001.70556,3.45,,40144.99861,1.7425
40540.70556,68040,,40511.70556,24.7,,38002.70556,3.45,,40147.99861,1.7477
40541.70556,68952,,40512.70556,24.59,,38005.70556,3.46,,40148.99861,1.7246
40542.70556,69304,,40513.70556,25.26,,38006.70556,3.52,,40149.99861,1.717
40546.70556,69962,,40514.70556,25.4,,38007.70556,3.47,,40150.99861,1.704
40547.70556,70317,,40515.70556,25.7,,38008.70556,3.42,,40151.99861,1.7212
40548.70556,71091,,40518.70556,25.86,,38009.70556,3.37,,40154.99861,1.724
40549.70556,70578,,40519.70556,25.35,,38012.70556,3.34,,40155.99861,1.7479
40550.70556,70057,,40520.70556,25,,38013.70556,3.46,,40156.99861,1.7603
40553.70556,70127,,40521.70556,25.4,,38014.70556,3.48,,40157.99861,1.7697
40554.70556,70423,,40522.70556,25.7,,38015.70556,3.32,,40158.99861,1.7591
40555.70556,71632,,40525.70556,25.91,,38016.70556,3.25,,40161.99861,1.7445
40556.70556,70721,,40526.70556,25.83,,38019.70556,3.3,,40162.99861,1.7506
40557.70556,70940,,40527.70556,25.37,,38020.70556,3.5,,40163.99861,1.7443
40560.70556,70609,,40528.70556,25.35,,38021.70556,3.59,,40164.99861,1.7903
40561.70556,70919,,40529.70556,25.94,,38022.70556,3.46,,40165.99861,1.7865
40562.70556,70058,,40532.70556,25.57,,38023.70556,3.41,,40168.99861,1.7795
40563.70556,69561,,40533.70556,25.77,,38026.70556,3.5,,40169.99861,1.7796
40564.70556,69133,,40534.70556,25.72,,38027.70556,3.59,,40170.99861,1.7615
40567.70556,69426,,40535.70556,25.75,,38028.70556,3.64,,40171.99861,1.7272
40569.70556,68709,,40539.70556,26.05,,38029.70556,3.7,,40175.99861,1.736
40570.70556,68050,,40540.70556,26.66,,38030.70556,3.59,,40176.99861,1.736
40571.70556,66697,,40541.70556,26.97,,38033.70556,3.55,,40177.99861,1.739
40574.70556,66574,,40542.70556,27.29,,38034.70556,3.65,,40178.99861,1.743
40576.70556,66688,,40546.70556,27,,38035.70556,3.58,,40182.99861,1.719
40578.70556,65269,,40547.70556,26.9,,38036.70556,3.46,,40183.99861,1.737
40581.70556,65362,,40548.70556,27.22,,38037.70556,3.51,,40184.99861,1.7315
40583.70556,64217,,40549.70556,27.11,,38042.70556,3.5,,40185.99861,1.7389
40584.70556,64577,,40550.70556,26.73,,38043.70556,3.48,,40186.99861,1.732
40585.70556,65755,,40553.70556,26.98,,38044.70556,3.51,,40189.99861,1.731
40588.70556,66557,,40554.70556,27.15,,38047.70556,3.64,,40190.99861,1.7373
40589.70556,66341,,40555.70556,27.9,,38048.70556,3.6,,40191.99861,1.7459
40590.70556,67576,,40556.70556,27.31,,38049.70556,3.53,,40192.99861,1.7641
40591.70556,67684,,40557.70556,27.55,,38050.70556,3.54,,40193.99861,1.7644
40592.70556,68066,,40560.70556,27.45,,38051.70556,3.47,,40196.99861,1.7633
40595.70556,67258,,40561.70556,27.72,,38054.70556,3.4,,40197.99861,1.7742
40596.70556,66439,,40562.70556,27.3,,38055.70556,3.33,,40198.99861,1.7895
40597.70556,66910,,40563.70556,27.27,,38056.70556,3.13,,40199.99861,1.8008
40599.70556,66902,,40564.70556,27.05,,38057.70556,3.07,,40200.99861,1.8188
40602.70556,67383,,40567.70556,27,,38058.70556,3.17,,40203.99861,1.7835
