IBOV,,,PETR4,,,VALE3,,,DOLAR,
Date,Close,,Date,Close,,Date,Close,,Date,Close
38965.70556,37693,,38965.70556,22.09,,36640.70556,0.76,,38903.99861,2.1885
38966.70556,37367,,38966.70556,21.81,,36641.70556,0.79,,38904.99861,2.179
38968.70556,36709,,38968.70556,21.18,,36642.70556,0.83,,38905.99861,2.1673
38971.70556,35772,,38971.70556,19.89,,36643.70556,0.81,,38908.99861,2.1677
38972.70556,36146,,38972.70556,19.9,,36644.70556,0.83,,38909.99861,2.1795
38974.70556,36153,,38974.70556,19.85,,36648.70556,0.84,,38910.99861,2.1855
38975.70556,36169,,38975.70556,19.68,,36649.70556,0.83,,38911.99861,2.204
38978.70556,36482,,38978.70556,20.31,,36650.70556,0.82,,38912.99861,2.2066
38979.70556,35885,,38979.70556,19.86,,36651.70556,0.83,,38915.99861,2.2097
38981.70556,35196,,38981.70556,19.34,,36654.70556,0.82,,38916.99861,2.1941
38982.70556,34830,,38982.70556,19.27,,36655.70556,0.81,,38917.99861,2.1885
38986.70556,34972,,38986.70556,19.24,,36656.70556,0.83,,38918.99861,2.1812
38987.70556,35818,,38987.70556,19.58,,36657.70556,0.81,,38919.99861,2.1884
38988.70556,36105,,38988.70556,20,,36658.70556,0.8,,38922.99861,2.1866
38989.70556,36486,,38989.70556,20.28,,36661.70556,0.81,,38923.99861,2.1981
38993.70556,36437,,38993.70556,19.45,,36662.70556,0.83,,38924.99861,2.2032
38994.70556,37749,,38994.70556,20.05,,36663.70556,0.85,,38925.99861,2.1841
38995.70556,37976,,38995.70556,20.04,,36664.70556,0.86,,38926.99861,2.1756
38996.70556,37940,,38996.70556,20.11,,36665.70556,0.89,,38929.99861,2.172
38999.70556,38406,,38999.70556,20.45,,36668.70556,0.86,,38930.99861,2.1845
39000.70556,38654,,39000.70556,20.51,,36669.70556,0.82,,38931.99861,2.1744
39001.70556,38322,,39001.70556,20.34,,36670.70556,0.81,,38932.99861,2.1792
39003.70556,38850,,39003.70556,20.83,,36671.70556,0.81,,38933.99861,2.169
39006.70556,39229,,39006.70556,21,,36672.70556,0.83,,38936.99861,2.1756
39007.70556,38897,,39007.70556,20.7,,36675.70556,0.82,,38937.99861,2.1824
39008.70556,38685,,39008.70556,20.53,,36676.70556,0.86,,38938.99861,2.1634
39009.70556,38919,,39009.70556,20.88,,36677.70556,0.87,,38939.99861,2.1619
39010.70556,38642,,39010.70556,20.61,,36678.70556,0.88,,38940.99861,2.1569
39013.70556,39226,,39013.70556,20.59,,36679.70556,0.88,,38943.99861,2.1535
39014.70556,39498,,39014.70556,20.95,,36682.70556,0.9,,38944.99861,2.1428
39015.70556,39562,,39015.70556,21.61,,36684.70556,0.89,,38945.99861,2.0144
39017.70556,39328,,39017.70556,21.58,,36685.70556,0.9,,38946.99861,2.1269
39020.70556,38900,,39020.70556,21.3,,36686.70556,0.92,,38947.99861,2.1465
39021.70556,39262,,39021.70556,21.56,,36689.70556,0.86,,38950.99861,2.1341
39022.70556,39930,,39022.70556,21.23,,36690.70556,0.83,,38951.99861,2.1355
39024.70556,40435,,39024.70556,21.6,,36691.70556,0.85,,38952.99861,2.1326
39028.70556,41048,,39028.70556,21.85,,36692.70556,0.84,,38953.99861,2.1603
39029.70556,41334,,39029.70556,22.33,,36693.70556,0.87,,38954.99861,2.16
39030.70556,40815,,39030.70556,22.41,,36696.70556,0.91,,38957.99861,2.15
39031.70556,40719,,39031.70556,22.53,,36697.70556,0.92,,38958.99861,2.145
39035.70556,41290,,39035.70556,22.28,,36698.70556,0.94,,38959.99861,2.131
39037.70556,41161,,39037.70556,21.94,,36700.70556,0.94,,38960.99861,2.134
39038.70556,41029,,39038.70556,21.75,,36703.70556,0.94,,38961.99861,2.1457
39043.70556,41912,,39043.70556,22.25,,36704.70556,0.94,,38964.99861,2.127
39045.70556,41757,,39045.70556,22.15,,36705.70556,0.96,,38965.99861,2.1223
39049.70556,41043,,39049.70556,22.14,,36706.70556,0.95,,38966.99861,2.1447
39050.70556,41970,,39050.70556,22.76,,36707.70556,0.94,,38967.99861,2.1514
39051.70556,41931,,39051.70556,22.91,,36710.70556,0.94,,38968.99861,2.157
39052.70556,41327,,39052.70556,22.75,,36711.70556,0.96,,38971.99861,2.1731
39055.70556,42654,,39055.70556,23.08,,36712.70556,0.96,,38972.99861,2.1671
39056.70556,43157,,39056.70556,23.25,,36713.70556,0.98,,38973.99861,2.1608
39057.70556,43096,,39057.70556,23.13,,36714.70556,0.98,,38974.99861,2.152
39058.70556,42909,,39058.70556,23.35,,36717.70556,0.98,,38975.99861,2.151
39059.70556,42977,,39059.70556,23.6,,36718.70556,0.95,,38978.99861,2.138
39062.70556,43297,,39062.70556,23.55,,36719.70556,0.95,,38979.99861,2.15
39063.70556,43018,,39063.70556,23.45,,36720.70556,0.93,,38980.99861,2.1704
39064.70556,43284,,39064.70556,23.45,,36721.70556,0.89,,38981.99861,2.1828
39066.70556,43595,,39066.70556,23.61,,36724.70556,0.99,,38982.99861,2.2101
39069.70556,43508,,39069.70556,23.7,,36725.70556,0.96,,38985.99861,2.2283
39071.70556,43589,,39071.70556,24.02,,36727.70556,0.94,,38986.99861,2.2003
39072.70556,43385,,39072.70556,24.18,,36728.70556,0.95,,38987.99861,2.1816
39073.70556,43355,,39073.70556,24.09,,36731.70556,0.97,,38988.99861,2.1718
39078.70556,44526,,39078.70556,24.85,,36732.70556,0.98,,38989.99861,2.1629
39079.70556,44473,,39079.70556,24.9,,36733.70556,0.98,,38992.99861,2.153
39084.70556,45382,,39084.70556,25.16,,36734.70556,0.97,,38993.99861,2.153
39085.70556,44445,,39085.70556,24.4,,36735.70556,0.93,,38994.99861,2.1625
39086.70556,44019,,39086.70556,23.85,,36738.70556,0.93,,38995.99861,2.1621
